Type,Chip,Substructure,Chip-Sub,Resistance (kÎ©),Design Pin Width (um),Design Gap (um),Design Area (um^2) (using sem overlap),Design E_J (GHz),Measured E_J (GHz)
Coupler,CF,C,CF-C,0.756,0.7,0.2,0.2555,25.380527385136986,87.7196215284557
Coupler,CF,T1,CF-T1,0.853,0.7,0.2,0.2555,25.380527385136986,77.7444711319021
Coupler,CF,T2,CF-T2,0.662,0.7,0.2,0.2555,25.380527385136986,100.17527775757175
Coupler,CF,T3,CF-T3,0.83055,0.7,0.2,0.2555,25.380527385136986,79.84592604360061
Coupler,CF,T4,CF-T4,0.632,0.7,0.2,0.2555,25.380527385136986,104.93043334732991
Coupler,CG,C,CG-C,0.386,1.3,0.2,0.4745,47.13526514382583,171.80319656868522
Coupler,CG,T1,CG-T1,0.41,1.3,0.2,0.4745,47.13526514382583,161.74642408661583
Coupler,CG,T2,CG-T2,0.363,1.3,0.2,0.4745,47.13526514382583,182.68879855513083
Coupler,CG,T3,CG-T3,0.377,1.3,0.2,0.4745,47.13526514382583,175.90459913929044
Coupler,CG,T4,CG-T4,0.43,1.3,0.2,0.4745,47.13526514382583,154.2233345942151
Coupler,CA,T1,CA-T1,0.50025,1.2,0.2,0.438,43.50947551737769,132.5657848585957
Coupler,CA,T2,CA-T2,0.40432,1.2,0.2,0.438,43.50947551737769,164.01868291331746
Coupler,CA,T3,CA-T3,0.51198,1.2,0.2,0.438,43.50947551737769,129.5285633726171
Coupler,CA,T4,CA-T4,0.40896,1.2,0.2,0.438,43.50947551737769,162.15775106492688
Coupler,CB,T1,CB-T1,0.49627,1.1,0.2,0.4015,39.88368589092955,133.628939640745
Coupler,CB,T2,CB-T2,0.45449,1.1,0.2,0.4015,39.88368589092955,145.9130759213899
Coupler,CC,T1,CC-T1,0.53618,1.0,0.2,0.365,36.25789626448141,123.68240866036126
Coupler,CC,T3,CC-T3,0.51784,1.0,0.2,0.365,36.25789626448141,128.06278749326532
Coupler,CD,T1,CD-T1,0.56643,0.9,0.2,0.3285,32.63210663803327,117.07719201933602
Coupler,CD,T2,CD-T2,0.56375,0.9,0.2,0.3285,32.63210663803327,117.63376297208426
Coupler,CE,T1,CE-T1,0.66679,0.8,0.2,0.292,29.006317011585125,99.45565151773798
Coupler,CE,T4,CE-T4,0.65795,0.8,0.2,0.292,29.006317011585125,100.79190497076145
Qubit,Q1,Q,Q1-Q,2.3373,0.3,0.2,0.1095,10.877368879344422,56.74584681086083
Qubit,Q1,T1,Q1-T1,2.637,0.3,0.2,0.1095,10.877368879344422,50.29657480129882
Qubit,Q1,T2,Q1-T2,2.902,0.3,0.2,0.1095,10.877368879344422,45.70367599966403
Qubit,Q1,T3,Q1-T3,2.987,0.3,0.2,0.1095,10.877368879344422,44.40310269535487
Qubit,Q2,Q,Q2-Q,2.105,0.3,0.15,0.1149,11.413787070654557,63.00810819526128
Qubit,Q2,T1,Q2-T1,2.408,0.3,0.15,0.1149,11.413787070654557,55.079762355076824
Qubit,Q2,T2,Q2-T2,2.579,0.3,0.15,0.1149,11.413787070654557,51.427711419552146
Qubit,Q2,T3,Q2-T3,2.357,0.3,0.15,0.1149,11.413787070654557,56.27156035257743
Qubit,Q4,Q,Q4-Q,1.912,0.35,0.15,0.13405,13.316084915763652,69.3682362714566
Qubit,Q4,T1,Q4-T1,1.999,0.35,0.15,0.13405,13.316084915763652,66.34920847975239
Qubit,Q4,T2,Q4-T2,2.167,0.35,0.15,0.13405,13.316084915763652,61.20538428750577
Qubit,Q4,T3,Q4-T3,1.976,0.35,0.15,0.13405,13.316084915763652,67.12149177683453
Qubit,Q5,T1,Q5-T1,1.4827,0.41,0.2,0.14964999999999998,14.865737468437374,89.4530705813887
Qubit,Q5,T3,Q5-T3,1.5006,0.41,0.2,0.14964999999999998,14.865737468437374,88.3860240910469
Qubit,Q8,T2,Q8-T2,1.1893,0.46,0.15,0.17618,17.50114017500366,111.52111977720088
Qubit,Q10,T1,Q10-T1,1.4809,0.52,0.15,0.19916,19.78389758913457,89.56179873794653
Qubit,Q10,T3,Q10-T3,1.4453,0.52,0.15,0.19916,19.78389758913457,91.76784594964714
Qubit,Q13,T1,Q13-T1,1.5549,0.63,0.2,0.22995,22.842474646623288,85.29941973826293
Qubit,Q13,T2,Q13-T2,1.6879,0.63,0.2,0.22995,22.842474646623288,78.57815495646959
Qubit,Q14,T2,Q14-T2,1.4408,0.63,0.15,0.24129,23.968952848374574,92.05446123752428
Qubit,Q15,T2,Q15-T2,1.7054,0.68,0.2,0.2482,24.655369459847353,77.77182347310014
Qubit,Q16,T3,Q16-T3,1.3475,0.68,0.15,0.26044,25.871250693483663,98.42825065011131
